id,F1,F2,F3
ae,678,2293,2861
ae,624,2442,3091
ae,666,2370,2814
ae,743,2230,3055
ae,677,2320,2987
ae,627,2266,2875
ae,690,2327,2771
ae,658,2650,3471
ae,685,2299,2930
ae,621,2249,2873
ae,868,2004,2797
ae,682,2486,3207
ae,668,2252,2790
ae,726,2350,2996
ae,620,2316,2849
ae,634,2596,3255
ae,672,2145,2764
ae,698,2339,3075
ae,586,2299,2748
ae,616,2156,2865
ae,576,2429,3101
ae,674,2256,2818
ae,738,2378,3305
ae,646,2406,3283
ae,746,1944,2927
ae,734,2518,3176
ae,662,2276,2955
ae,696,2447,3122
ae,687,2378,2913
ae,645,2154,3139
ae,626,2374,2836
ae,689,2701,3490
ae,557,2586,3202
ae,668,2296,2711
ae,746,2371,2984
ae,893,2070,3024
ae,665,2408,3034
ae,564,2442,0
ae,714,2254,2625
ae,625,2594,3146
ae,552,2227,2978
ae,685,2205,2813
ae,657,2192,2654
ae,649,2508,3050
ae,817,2102,2711
ae,626,2331,2826
ae,706,2400,2923
ae,751,2432,2896
ah,1012,1603,2767
ah,883,1682,2962
ah,1025,1548,2748
ah,804,1484,2789
ah,935,1377,2598
ah,804,1363,2803
ah,939,1233,2564
ah,827,1701,3056
ah,913,1436,2589
ah,856,1540,2667
ah,882,1380,2834
ah,887,1743,2557
ah,869,1495,2731
ah,994,1609,2930
ah,955,1615,2678
ah,1085,1687,2870
ah,937,1623,2844
ah,918,1640,2801
ah,818,1351,2933
ah,769,1451,2898
ah,1008,1495,3018
ah,905,1514,2848
ah,1063,1680,2785
ah,1053,1677,2868
ah,798,1351,2851
ah,869,1751,2762
ah,863,1538,3038
ah,938,1462,2825
ah,957,1591,2733
ah,827,1543,2980
ah,708,1547,2426
ah,1163,1685,3250
ah,1011,1541,2803
ah,1035,1486,2865
ah,952,1676,2862
ah,810,1314,3236
ah,993,1671,2751
ah,931,1348,2698
ah,822,1371,3130
ah,875,1491,2979
ah,884,1568,2819
ah,938,1492,2673
ah,914,1383,2854
ah,901,1509,2670
ah,975,1534,2658
ah,796,1502,2810
ah,1145,0,3272
ah,968,1433,2850
aw,815,1200,2783
aw,760,1225,2796
aw,772,1051,2870
aw,770,1245,2811
aw,923,1368,2503
aw,778,1220,2677
aw,809,1097,2646
aw,815,1426,2990
aw,890,1063,2523
aw,771,1170,2760
aw,755,1114,2766
aw,930,1422,2489
aw,697,1142,2507
aw,748,1063,2876
aw,827,1189,2633
aw,847,1192,2999
aw,794,1185,2896
aw,848,1175,2892
aw,713,1132,2948
aw,698,1127,2886
aw,736,1120,3055
aw,835,1326,2667
aw,907,1527,3075
aw,811,1254,2824
aw,656,1075,2684
aw,890,1292,2801
aw,860,1504,2834
aw,740,1037,2736
aw,867,1207,2746
aw,776,1324,2852
aw,699,1104,2513
aw,906,1386,3066
aw,814,1144,2729
aw,801,1187,2935
aw,822,1177,2950
aw,851,1105,3249
aw,825,1213,2751
aw,752,1101,2616
aw,765,997,3477
aw,957,0,3066
aw,799,1146,2770
aw,715,963,2455
aw,790,1044,2933
aw,850,1182,2909
aw,813,1117,2585
aw,736,1098,2821
aw,677,1054,3278
aw,995,1359,2941
eh,734,1893,2820
eh,740,2186,3086
eh,707,2110,3028
eh,693,1991,3121
eh,743,1981,2868
eh,712,1881,2777
eh,734,2141,2746
eh,732,2189,3366
eh,710,2138,2818
eh,704,2023,2927
eh,766,1922,2908
eh,673,2389,2989
eh,651,2157,2794
eh,817,2242,3139
eh,684,1992,2951
eh,756,2008,3089
eh,750,1935,2930
eh,706,1986,3228
eh,717,2256,2896
eh,727,1871,2902
eh,584,2175,2930
eh,762,1902,2887
eh,981,2075,3215
eh,794,2046,3082
eh,620,2071,2933
eh,741,1997,2567
eh,693,2012,3003
eh,597,2426,3018
eh,886,2186,2956
eh,588,2130,2870
eh,755,1762,2646
eh,885,2322,3652
eh,804,1998,2775
eh,718,2005,2906
eh,773,2042,3009
eh,694,2160,3144
eh,680,2068,3072
eh,694,2052,2838
eh,726,2123,2959
eh,714,2255,2941
eh,623,1882,3007
eh,718,1952,2817
eh,758,2091,2829
eh,676,2196,3124
eh,770,1866,2653
eh,683,1851,2877
eh,690,2082,2647
eh,817,1984,2973
ei,539,2476,2868
ei,477,2704,0
ei,672,2457,3190
ei,601,2577,3091
ei,487,2600,3130
ei,492,2437,3001
ei,553,2458,2788
ei,496,2665,3173
ei,505,2777,3044
ei,455,2433,3023
ei,574,2316,2854
ei,502,2674,3394
ei,647,2539,0
ei,596,2478,2924
ei,500,2482,3060
ei,617,2697,3154
ei,558,2505,2855
ei,572,2428,3120
ei,574,2360,2686
ei,498,2218,2894
ei,511,2574,3085
ei,513,2435,2939
ei,617,2668,3319
ei,610,2598,3323
ei,485,2423,2912
ei,578,2474,3055
ei,507,2573,3121
ei,504,2501,3050
ei,494,2680,3156
ei,487,2408,3094
ei,547,2262,2708
ei,500,2889,3452
ei,433,2773,3297
ei,591,2562,3156
ei,596,2314,3113
ei,500,2622,3305
ei,645,2554,3047
ei,434,2568,3053
ei,543,2399,2775
ei,555,2766,3181
ei,484,2276,3151
ei,442,2464,3067
ei,606,2438,2723
ei,485,2619,0
ei,472,2616,0
ei,546,2237,2864
ei,439,2801,3084
ei,664,2455,2915
er,470,1437,1672
er,500,1441,1914
er,523,1413,0
er,619,1716,2138
er,494,1485,1863
er,527,1636,1974
er,518,1604,1912
er,516,1983,0
er,503,1480,1735
er,495,1596,1973
er,567,1496,1803
er,501,1555,1938
er,531,1688,1971
er,506,1604,1915
er,484,1652,1928
er,597,1588,1905
er,491,1506,1727
er,524,1547,2066
er,508,1562,0
er,469,1499,0
er,505,1568,1845
er,508,1687,1913
er,538,1813,2236
er,617,1565,1930
er,522,1490,2094
er,507,1749,2028
er,514,1831,2192
er,580,1407,1837
er,557,1546,1929
er,555,1491,1998
er,588,1509,0
er,549,1749,2209
er,461,1534,1878
er,537,1509,1682
er,492,1635,1871
er,455,1769,2070
er,656,1614,2008
er,509,1365,0
er,584,1486,1783
er,491,1655,0
er,482,1676,0
er,487,1434,1911
er,537,1638,1932
er,500,1637,1928
er,456,1615,1826
er,604,1441,1835
er,513,1569,1869
er,503,1766,1956
ih,496,2260,3027
ih,446,2444,2956
ih,486,2332,2925
ih,502,2391,3071
ih,497,2379,3074
ih,531,2174,2984
ih,535,2380,2930
ih,498,2654,3391
ih,500,2272,3028
ih,471,2277,2884
ih,453,2427,2932
ih,489,2603,3353
ih,555,2216,2812
ih,491,2316,2934
ih,485,2129,2967
ih,457,2590,3232
ih,474,2362,2830
ih,501,2355,3161
ih,449,2173,2840
ih,458,2143,2986
ih,440,2394,3136
ih,535,2134,2929
ih,516,2567,3485
ih,552,2453,3346
ih,455,2304,2999
ih,515,2378,3063
ih,504,2334,3063
ih,544,2570,3135
ih,501,2449,3185
ih,431,2190,3060
ih,478,2157,2793
ih,556,2541,3684
ih,486,2454,3106
ih,442,2472,3010
ih,486,2253,3212
ih,440,2453,3123
ih,477,2554,3296
ih,436,2559,3104
ih,501,2292,2863
ih,443,2644,3306
ih,489,2175,2990
ih,451,2247,2929
ih,442,2316,2899
ih,449,2492,3040
ih,444,2237,2711
ih,498,2234,2876
ih,463,2603,2991
ih,499,2384,3091
iy,441,2806,3260
iy,435,2890,3667
iy,380,2703,3087
iy,428,2767,3627
iy,346,2703,3510
iy,439,2676,3291
iy,394,2689,3058
iy,493,2967,3496
iy,442,2850,3157
iy,477,2866,3236
iy,408,2627,3064
iy,435,2868,3625
iy,438,2813,3532
iy,440,2706,3404
iy,455,2797,3129
iy,443,2944,3546
iy,429,2698,3509
iy,492,2695,3371
iy,382,2563,3477
iy,434,2512,2998
iy,435,2621,3116
iy,433,2634,3307
iy,531,2996,3831
iy,467,3009,0
iy,375,2577,3276
iy,497,2795,3266
iy,495,2910,0
iy,508,2731,3669
iy,452,2754,3511
iy,461,2359,3218
iy,433,2720,3035
iy,505,2982,3741
iy,434,2854,3614
iy,426,2775,3535
iy,424,2692,3336
iy,380,2816,3312
iy,439,2927,3283
iy,430,2606,0
iy,383,2733,3326
iy,438,2964,3632
iy,427,2772,3762
iy,437,2555,3583
iy,431,2522,3008
iy,331,3049,3736
iy,440,2757,3175
iy,489,2641,2952
iy,419,2874,3367
iy,437,2778,3139
oa,557,1135,2961
oa,432,1013,2690
oa,624,1130,2881
oa,627,1314,2911
oa,443,879,2532
oa,580,995,2637
oa,621,1025,2704
oa,506,1257,2957
oa,538,998,2796
oa,453,980,2854
oa,597,1150,2751
oa,688,1185,2748
oa,631,1181,2458
oa,636,1041,2862
oa,449,924,2694
oa,612,1026,2896
oa,616,1034,2785
oa,631,1185,2942
oa,504,1047,2749
oa,469,934,2571
oa,578,1061,2882
oa,560,987,2311
oa,508,991,3121
oa,658,1045,2928
oa,498,970,2876
oa,582,946,2704
oa,613,1184,3063
oa,636,981,2944
oa,636,1096,2684
oa,584,936,2985
oa,499,1046,2697
oa,504,990,3324
oa,453,880,2924
oa,641,1195,2890
oa,620,1057,2833
oa,563,1198,3046
oa,632,1108,2869
oa,430,820,2783
oa,438,812,3068
oa,450,889,2904
oa,444,987,2727
oa,435,862,2516
oa,608,1007,2866
oa,568,1112,2827
oa,624,1109,2691
oa,522,923,2871
oa,444,803,3233
oa,720,1277,2812
oo,489,1357,2937
oo,503,1332,2903
oo,494,1102,2863
oo,509,1323,3122
oo,506,1188,2485
oo,483,987,2679
oo,563,1233,2758
oo,546,1534,2880
oo,500,1200,2783
oo,491,1179,2636
oo,575,1619,2737
oo,502,1322,2951
oo,552,1193,2559
oo,499,1103,2900
oo,501,1189,2647
oo,562,1109,2904
oo,492,1161,2766
oo,505,1404,2774
oo,500,1095,2804
oo,496,1169,2654
oo,458,1042,3007
oo,617,1373,2579
oo,559,1246,3127
oo,509,1244,2980
oo,490,1122,2824
oo,616,1331,2696
oo,521,1428,3156
oo,570,1117,2820
oo,532,1354,2810
oo,482,1124,2704
oo,541,1183,2780
oo,615,1375,3295
oo,579,1392,2760
oo,552,1364,2809
oo,449,1396,2702
oo,464,1169,2985
oo,552,1214,2882
oo,486,1088,2663
oo,516,1019,2890
oo,444,1081,3049
oo,497,1440,2713
oo,499,1144,2511
oo,480,1108,2717
oo,520,1421,2998
oo,498,1162,2708
oo,519,1051,2741
oo,509,1049,3306
oo,553,1135,2859
uh,803,1501,2989
uh,788,1547,2917
uh,789,1291,2877
uh,731,1552,3111
uh,693,1381,2560
uh,795,1362,2671
uh,854,1401,2756
uh,716,1634,3119
uh,809,1391,2927
uh,680,1499,2885
uh,773,1614,2813
uh,817,1604,2649
uh,739,1320,2596
uh,742,1352,2960
uh,700,1338,2750
uh,824,1459,2924
uh,705,1166,2890
uh,839,1555,3003
uh,642,1338,2938
uh,701,1318,2881
uh,777,1397,3033
uh,686,1477,2698
uh,769,1382,3035
uh,815,1427,3002
uh,678,1397,2861
uh,823,1419,3051
uh,700,1580,3018
uh,885,1580,3078
uh,835,1507,2834
uh,756,1531,2871
uh,685,1100,2510
uh,828,1454,3287
uh,764,1359,2875
uh,729,1435,3109
uh,761,1380,3042
uh,809,1468,3153
uh,818,1516,2970
uh,710,1293,2623
uh,755,1427,2965
uh,827,1416,3022
uh,736,1300,2829
uh,678,1229,2590
uh,780,1380,2854
uh,693,1277,2935
uh,712,1499,2757
uh,733,1378,2891
uh,796,1271,3197
uh,811,1450,2938
uw,503,1068,2810
uw,435,1384,2804
uw,431,788,2717
uw,436,1415,2843
uw,455,994,2612
uw,437,1113,2676
uw,384,1084,2929
uw,503,1514,2816
uw,504,1096,2665
uw,473,1113,2626
uw,461,1627,2761
uw,477,998,2690
uw,445,1136,2692
uw,483,1117,2707
uw,466,778,2699
uw,440,1122,2856
uw,436,911,2724
uw,506,1030,2575
uw,360,1034,2731
uw,491,1260,2502
uw,391,971,2945
uw,431,1003,2366
uw,525,1065,2942
uw,448,1369,2921
uw,445,881,2580
uw,503,963,2776
uw,508,1001,2763
uw,510,917,2757
uw,502,1050,2695
uw,488,1119,2702
uw,477,1184,2610
uw,504,1068,3121
uw,483,938,2835
uw,448,1463,2693
uw,438,1711,2636
uw,437,1178,2852
uw,504,1041,2838
uw,429,827,2719
uw,438,1078,2774
uw,450,916,2959
uw,474,974,2540
uw,430,954,2491
uw,415,1001,2556
uw,362,1351,2879
uw,482,987,2781
uw,458,1163,2651
uw,467,993,2802
uw,491,1317,2680
